,datetime,Sample_ID,Code,Gage_Ht,Temp,pH,Cond,Cl,NO3-N,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS,Turbidity,source,discharge(cfs),discharge(m/yr),rank,stage,discharge(cms),notes,datetime.1,gageheight,site,code,datetime_last,d18O,d18O_stdev,d2H,d2H_stdev,dexcess,dexcess_stdev,DO%,Temperature,SO4,Bromide,rank_sp,rainfall(mm),rainfall(in),pc1,pc2,binnum,F1_med,F2_med,Na_backcalc_5,Na_backcalc_95,Na_backcalc_med,Na_backcalc_mean,Ca_backcalc_5,Ca_backcalc_95,Ca_backcalc_med,Ca_backcalc_mean,Mg_backcalc_5,Mg_backcalc_95,Mg_backcalc_med,Mg_backcalc_mean,Cl_backcalc_5,Cl_backcalc_95,Cl_backcalc_med,Cl_backcalc_mean,F1_std,F2_std,F1_5,F2_5,F1_95,F2_95,F1_25,F2_25,F1_75,F2_75
4132,1991-05-14 12:00:00,MPR,,,23.9,,81.0,7.9,0.14,1.1683062669165103,7.62,0.82,2.03,9.22,0.008,0.004,1.2,,,,22.0,,2.0,,USGS,16.0,0.807231705424011,7.726926616981706,,,,,,MPR,,,,,,,,,,,,,,,,-1.2750516691938762,-0.25352021154300713,0.0,0.04782420776494023,0.9521757922350599,6.640983648084994,7.583382698135513,7.171591608479966,7.150187210403173,6.8845845124838965,11.708188763375194,9.481339908489552,9.476827418736702,1.898716626038591,2.483779472288642,2.2145193136946455,2.2122013225101362,6.370024845289727,9.046717145405301,7.867355586810323,7.776365413499296,0.8596895151705791,0.8596895151705791,-0.1595980913072887,0.7550482844060122,0.2449517155939876,1.1595980913072883,-0.02577207551973256,0.8644274760516747,0.1355725239483252,1.0257720755197326
4135,1991-05-28 11:30:00,MPR,,,25.0,,93.0,8.0,0.14,1.2350666250260254,7.78,0.83,2.12,9.96,0.009,0.006,1.0,,,,23.3,,2.0,,USGS,21.0,1.0594916133690144,20.69850394134633,,,,,,MPR,,,,,,,,,,,,,,,,-1.6340162120336474,-0.40958697787129567,0.0,-0.00907698439493111,1.009076984394931,6.8545563885447285,7.844017558181053,7.411080600836407,7.370887190880048,7.238110885818348,12.500453445258888,10.080022277073255,9.975609723106563,1.9802365420700407,2.5907430054002405,2.309510808814626,2.314422853878181,6.156740829900338,9.185311532915122,8.030810750938677,7.912251683242665,1.09809363039816,1.09809363039816,-0.22781965226936188,0.8074812521881153,0.1925187478118845,1.2278196522693618,-0.07380967795499828,0.9072375549741453,0.09276244502585466,1.0738096779549984
4137,1991-06-10 09:30:00,MPR,,,24.6,,91.0,8.1,0.14,1.1683062669165103,7.58,0.83,2.06,9.42,0.006,0.004,2.0,,,,21.6,,3.0,,USGS,16.0,0.807231705424011,7.726926616981706,,,,,,MPR,,,,,,,,,,,,,,,,-1.3931913165189105,-0.20569208135807834,0.0,0.025923076483170587,0.9740769235168294,6.7098424612563115,7.670557090615748,7.250129979841011,7.222822289210398,7.0338926064828975,11.956358125855882,9.635882127506324,9.640982811534153,1.928917303894758,2.5152736907959983,2.24411391683321,2.24584368609654,6.279143883013522,9.09056173918546,7.9309321615604205,7.8210872566562974,0.9193862756154972,0.9193862756154972,-0.18011544423375825,0.7710309189928027,0.22896908100719734,1.180115444233758,-0.040543147731440576,0.8788904565192117,0.12110954348078833,1.0405431477314406
4139,1991-06-25 10:15:00,MPR,,,25.7,,98.0,7.9,0.14,1.201686445971268,7.73,0.85,2.17,10.4,0.009,0.007,1.4,,,,23.3,,2.0,,USGS,22.0,1.1099435949580152,23.62947099156452,,,,,,MPR,,,,,,,,,,,,,,,,-1.7289575610567642,-0.6027196386550547,0.0,-0.020713432727011982,1.020713432727012,6.910870896339281,7.914898725915435,7.470926393733299,7.429259401433406,7.315377376654362,12.641984944903383,10.241026051138775,10.107531011128895,1.9998238578104068,2.6231666669359646,2.333639532045769,2.341459089854328,6.043040351988937,9.224502134152585,8.067131225097103,7.948191794934767,1.1836648713577398,1.1836648713577398,-0.24517006832347232,0.820462518359614,0.17953748164038605,1.2451700683234717,-0.08721970626917847,0.9177496700542864,0.08225032994571349,1.0872197062691784
4141,1991-07-02 10:52:00,MPR,6409.0,2.06,,7.73,85.7,6.3,138.0,2.74,5.7,0.75,0.8,5.31,,,,,0.51,,,,1.61,,EDI,34.0,1.7153673740260234,51.33112457761612,,,,,,MPR,,,,,,,,,,,,,,,,2.25051142864475,0.22334700497562662,2.0,0.5254833770892435,0.47451662291075647,4.284113899543113,5.8802763353522804,4.857166115608953,4.982586754081073,-0.10067072403381161,6.823034509765007,4.815078444377546,4.578046964739219,0.5635160101967269,1.5267488053846368,1.2757892217972306,1.2082345910198655,4.7653482223286865,10.623762067128677,6.090816400815375,6.4417611255094975,4.355947779064276,4.355947779064276,0.3583129147173352,-0.09078289623136748,1.090782896231367,0.641687085282665,0.4534423921591598,0.35581727486373926,0.6441827251362606,0.5465576078408401
4142,1991-07-09 10:00:00,MPR,,,24.8,,108.0,8.0,0.13,1.201686445971268,8.01,0.87,2.35,10.8,0.008,0.006,1.1,,,,25.5,,,,USGS,21.0,1.0594916133690144,20.69850394134633,,,,,,MPR,,,,,,,,,,,,,,,,-2.1665315100460503,-0.7063943725287892,0.0,-0.07616893328602951,1.0761689332860294,7.178438053415144,8.25057005929451,7.7423199322769864,7.698290323638539,7.694954245530908,13.326204435658168,10.880289275351346,10.715541320120728,2.0917514949591625,2.78082460380913,2.4491228761458723,2.4660660462924127,5.760114936478116,9.437859057795823,8.248190372588954,8.113835708382732,1.6398836713898453,1.6398836713898453,-0.344089958277227,0.870767193790953,0.12923280620904679,1.344089958277227,-0.15118852527811932,0.9660659926911925,0.033934007308807704,1.1511885252781193
4143,1991-07-09 10:06:00,MPR,6422.0,1.78,,7.96,109.9,8.07,135.0,1.34,6.82,0.79,0.91,5.06,,,,,0.31,,,,0.76,,EDI,21.0,1.0594916133690144,20.69850394134633,,,,,,MPR,,,,,,,,,,,,,,,,1.1355492605651172,1.3301286060919686,0.0,0.3839403145032443,0.6160596854967556,5.040473938360818,6.371982504756836,5.607045485183422,5.668092143501831,2.591244777026189,8.311449819727981,6.223388766029895,6.1272902272647665,1.062109415491733,1.8213840915213726,1.5720696607021585,1.5257398781351184,5.32389601448971,9.913256278598196,6.683796208260111,6.863830806060035,2.9544869251767434,2.954486925176744,0.20507541392360015,0.21051392974283356,0.7894860702571656,0.7949245860763998,0.31251380455882555,0.5277731671193259,0.4722268328806743,0.6874861954411745
4144,1991-07-16 10:15:00,MPR,6470.0,2.46,,7.21,79.5,7.23,25.0,,6.44,1.02,2.23,4.58,,,,,0.55,,,,4.0,,EDI,97.0,4.893842214133067,88.84278783751193,,,,,,MPR,,,,,,,,,,,,,,,,0.2457665741899747,0.33805850224997175,5.0,0.2670956042140925,0.7329043957859075,5.636691516318431,6.988532525823336,6.183689504661549,6.215151805601335,4.73440360354896,9.513379415295145,7.32078826984641,7.363645927434208,1.427394548320244,2.066998328101203,1.8115147305848036,1.7791213070263854,5.597212415949232,9.387072409506725,7.1462879321005826,7.200658641971763,1.8775162020638616,1.8775162020638616,0.07722231931452171,0.42809400727275665,0.5719059927272433,0.922777680685478,0.19625879007131977,0.6563213756517071,0.343678624348293,0.8037412099286804
4146,1991-07-23 10:20:00,MPR,,,25.5,,112.0,7.9,0.13,1.2350666250260254,8.52,0.92,2.48,11.8,0.007,0.01,1.1,,,,27.4,,,,USGS,18.0,0.9081356686020124,12.406140678108478,,,,,,MPR,,,,,,,,,,,,,,,,-2.722367315448428,-1.0335113381050882,0.0,-0.14611046421445867,1.1461104642144586,7.416554156850375,8.755095386147676,8.093829859306341,8.040031461719098,8.156890015737412,14.363718998392,11.634912811566098,11.487876831802915,2.191441901763555,2.992232955767304,2.601553275242173,2.6243501675260372,5.315026398702122,9.672995247403103,8.535016172836952,8.3242477273204,2.290320902967688,2.290320902967688,-0.47570572532925653,0.9352056772030496,0.06479432279695023,1.4757057253292565,-0.23668165927877619,1.0382736759307878,-0.03827367593078773,1.2366816592787764
4148,1991-08-06 10:13:00,MPR,6656.0,1.86,27.0,7.56,111.5,9.77,79.0,1.01,6.89,0.75,3.0,10.24,,,,,,,,,1.13,,EDI,23.0,1.1603955765470158,26.47327408593011,,,,,,MPR,,,,,,,,,,,,,,,,-2.7783776622824075,0.06340179489142654,1.0,-0.15302966659808753,1.1530296665980875,7.4311588587092725,8.806752901288258,8.128959394939256,8.074467961644643,8.203886229985786,14.494196421505707,11.707740385912064,11.565703376010951,2.2004665089605155,3.015037740575269,2.616964109785264,2.640300108933977,5.301602819711044,9.70142208626577,8.559104121278152,8.34545048188239,2.358022287080827,2.358022287080827,-0.49075076630339665,0.9413126733008856,0.05868732669911423,1.4907507663033963,-0.24621230878822706,1.0456462703649112,-0.04564627036491115,1.246212308788227
