,datetime,Sample_ID,Code,Gage_Ht,Temp,pH,Cond,Cl,NO3-N,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS,Turbidity,source,discharge(cfs),discharge(m/yr),rank,stage,discharge(cms),notes,datetime.1,gageheight,site,code,datetime_last,d18O,d18O_stdev,d2H,d2H_stdev,dexcess,dexcess_stdev,DO%,Temperature,SO4,Bromide,rank_sp,rainfall(mm),rainfall(in),pc1,pc2,binnum,F1_med,F2_med,Na_backcalc_5,Na_backcalc_95,Na_backcalc_med,Na_backcalc_mean,Ca_backcalc_5,Ca_backcalc_95,Ca_backcalc_med,Ca_backcalc_mean,Mg_backcalc_5,Mg_backcalc_95,Mg_backcalc_med,Mg_backcalc_mean,Cl_backcalc_5,Cl_backcalc_95,Cl_backcalc_med,Cl_backcalc_mean,F1_std,F2_std,F1_5,F2_5,F1_95,F2_95,F1_25,F2_25,F1_75,F2_75
2364,1992-08-12 11:30:00,QG,120000255.0,,21.1,6.5,52.6,6.6,160.0,0.37,5.2,0.5,1.0,2.68,6.0,,1.1,,,,16.8,,3.0,,EDI,0.38,2.6103079089816816,66.62620943329412,,,,,,QG,,,,,,,,,,,,,,,,-0.1513995867265939,0.022000516898120753,3.0,0.16697556932719637,0.8330244306728037,4.703785373498568,5.7360525978048855,5.134403010160561,5.151895076142894,1.6334700353295692,3.5897142732716145,2.667476876792438,2.577051289453356,0.6370878349814431,1.1499320289832817,1.0141606448208589,0.960153668886444,4.991092713851121,8.829995864441177,6.546931392222431,7.102698072956247,6.01990909613382,6.019909096133821,-0.28349027013831546,0.33710097410357176,0.6628990258964261,1.2834902701383148,0.10041360033938786,0.7437498218987744,0.25625017810122563,0.8995863996606122
2365,1992-08-26 14:30:00,QG,120000256.0,,21.2,6.5,56.0,7.4,130.0,0.33,6.07,0.48,1.17,3.73,,,1.2,,,,22.7,,4.0,,EDI,0.3,2.060769401827644,51.47825971068794,,,,,,QG,,,,,,,,,,,,,,,,-1.7305508263060032,-0.3720718721439058,2.0,-0.13295923720400743,1.1329592372040074,5.521606947887089,6.672795390896561,6.049237664901183,6.004359455119357,2.9406414575041135,4.614989284565913,3.4915054183889933,3.3780517999628565,1.0154953143970766,1.4539263167287175,1.2598876305342182,1.2997441183606697,5.338768733961226,8.913309519893396,7.270205292144832,7.412845449408943,11.576795880565175,11.576795880565175,-0.7524420802999877,0.8587791322001793,0.14122086779981963,1.7524420802999863,-0.21817960936683864,1.050199665506946,-0.050199665506946045,1.2181796093668387
2372,1992-10-07 10:43:00,QG,120000263.0,,20.6,6.6,57.4,6.7,140.0,0.33,6.0,0.47,1.13,3.71,6.0,,0.9,,,,22.5,,2.0,,EDI,0.22,1.5112308946736053,27.583170552464946,,,,,,QG,,,,,,,,,,,,,,,,-1.3973525557373512,-0.63455049200824,1.0,-0.07055698147321979,1.0705569814732199,5.432229445967518,6.3801060182420635,5.8493711965972945,5.824490896822186,2.85008453239832,4.2522691337385,3.3084876436493698,3.2090420318436927,1.0238669206530715,1.372641419193749,1.20534208315775,1.2280911014548346,5.446534199463269,8.576156974235849,7.109221217800444,7.3474048716698555,9.848929493191186,9.848929493191186,-0.5839761992814501,0.8305542320290452,0.16944576797095476,1.58397619928145,-0.14198956316854808,1.0009036953837458,-0.0009036953837458308,1.1419895631685482
2373,1992-11-10 17:00:00,QG,120000264.0,,20.7,6.8,48.6,6.5,190.0,0.43,5.41,0.49,0.98,2.62,,,2.2,,,,15.5,,111.0,,EDI,0.36,2.472923282193172,63.02611855524205,,,,,,QG,,,,,,,,,,,,,,,,-0.14460159411674098,0.0925259870003071,3.0,0.16842494965425336,0.8315750503457467,4.699698869479307,5.7343397641093645,5.130106026746027,5.148225353824219,1.6230083150629198,3.5859910355090348,2.66402753063885,2.573603110827772,0.6349373905846549,1.148740881404422,1.013116479470914,0.9586917865106213,4.986720297858213,8.83611923510957,6.544849455779884,7.101362938283774,6.020296984327635,6.0202969843276355,-0.2844904023523286,0.3348288076190091,0.6651711923809888,1.2844904023523287,0.10161617249750715,0.7425634842379389,0.25743651576206106,0.8983838275024928
2379,1993-04-19 15:17:00,QG,120000270.0,,22.0,7.2,57.2,7.6,30.0,,6.4,0.5,1.23,3.66,6.0,,1.6,,,,23.1,,,,EDI,0.24,1.6486155214621148,36.0646566878504,,,,,,QG,,,,,,,,,,,,,,,,-2.0107860615752173,-0.23467169724245815,1.0,-0.18353864389507227,1.1835386438950724,5.574047227980168,6.902433680401107,6.218255472047158,6.155637274376698,3.0043612991625532,4.970101901876125,3.6374000893279157,3.5201968718770136,1.0186393869810804,1.5316895436413702,1.305244872304653,1.3600076365838687,4.972311916804957,9.196162252326003,7.4241816426885965,7.467884017488979,13.112768306628569,13.112768306628567,-0.9239781618615309,0.8784708661541336,0.12152913384586606,1.9239781618615284,-0.28587147806666635,1.0915402225114599,-0.09154022251146005,1.2858714780666662
2380,1993-04-30 04:29:00,QG,120000271.0,,,,29.9,3.0,60.0,0.33,2.17,0.42,0.33,0.78,,,,,,,3.06,,1510.0,,EDI,18.0,123.6461641096586,99.92936643020604,,,,,,QG,,,,,,,,,,,,,,,,4.6964520069445,-0.09634087885942369,7.0,1.0237085318670802,-0.02370853186708037,0.4264478438089917,5.477196515195793,2.167316604260075,2.534906472018135,-6.191316083391841,3.984683095389764,0.4179881492435499,0.11805211060405245,-0.7146897830275495,0.7974792006269792,0.2950022701664974,-0.08235832136315946,-3.3675953364830296,17.617624295600166,3.9400290199964103,6.150573656038914,31.08116818010522,31.08116818010522,-0.8607034312775967,-3.162355609530903,4.162355609530895,1.8607034312775954,0.8662096995849273,-0.40749444840780036,1.4074944484078005,0.1337903004150728
2381,1993-04-30 04:34:00,QG,120000272.0,,,,28.6,4.3,100.0,0.5,3.34,0.6,0.46,0.97,,,,,,,3.18,,1010.0,,EDI,18.0,123.6461641096586,99.92936643020604,,,,,,QG,,,,,,,,,,,,,,,,3.409443102312922,0.4511544294402454,7.0,0.7949536935197649,0.20504630648023517,1.6294370053692855,5.470223661199811,2.9605256643689404,3.229665288732952,-4.106161248865135,3.7660146385157898,1.0294496244854368,0.7708678535183819,-0.2876223348513674,0.8604523875973958,0.48320249066913695,0.1944080335285729,-0.6669190939809655,15.191396058388126,4.6469838404604324,6.403343894403802,23.200859931867228,23.200859931867228,-0.6590243665892336,-2.1928750091209728,3.1928750091209688,1.6590243665892335,0.6697148462835746,-0.08874958007253876,1.0887495800725389,0.33028515371642536
2382,1993-04-30 13:49:00,QG,120000273.0,,,,25.9,4.3,100.0,0.5,3.1,0.54,0.4,0.76,,,,,,,2.43,,453.0,,EDI,15.0,103.03847009138217,99.89874585749662,,,,,,QG,,,,,,,,,,,,,,,,3.7531560999444764,0.6186979540951318,7.0,0.8556296759522397,0.14437032404776026,1.3048780716856432,5.485414018567969,2.749084829345215,3.0441206241508763,-4.691914836647365,3.806356698745409,0.8647135153130596,0.5965246496052853,-0.40019621222822027,0.8468480553065645,0.43349004754622666,0.1204938646824543,-1.3835480707216627,15.836040574796447,4.45706231709709,6.335838210466585,25.292675389940776,25.292675389940776,-0.7097671849531092,-2.473667368791283,3.473667368791278,1.709767184953107,0.7222555336047518,-0.17415043006279315,1.1741504300627932,0.2777444663952482
2383,1993-04-30 13:54:00,QG,120000274.0,,,,25.8,4.4,90.0,0.5,3.31,0.53,0.45,0.86,,,,,,,2.56,,282.0,,EDI,15.0,103.03847009138217,99.89874585749662,,,,,,QG,,,,,,,,,,,,,,,,3.475820398526391,0.5781625159888053,7.0,0.806520061761462,0.1934799382385381,1.568384355495568,5.473038710940177,2.9197441547819816,3.1938332042710385,-4.220834767896802,3.7757875063014836,0.9984473356689162,0.7371989769594854,-0.3091191311018676,0.8554809916677361,0.4734334018614679,0.1801338492129405,-0.8065313269467259,15.340510469687368,4.610263162580885,6.390307306292009,23.603877188487886,23.603877188487886,-0.6692567249613677,-2.2388265886440877,3.238826588644079,1.669256724961367,0.6799967319921032,-0.10568981676764828,1.105689816767648,0.3200032680078968
2384,1993-05-01 12:14:00,QG,120000275.0,,,,28.4,4.1,50.0,0.5,3.16,0.62,0.46,1.02,,,,,,,0.78,,682.0,,EDI,15.0,103.03847009138217,99.89874585749662,,,,,,QG,,,,,,,,,,,,,,,,3.5240090612383206,0.2864011047292968,7.0,0.8150634942334545,0.18493650576654552,1.5225289698885234,5.47512517431214,2.8898238780362537,3.16781978807451,-4.294352833889803,3.7823448639423685,0.9750141868886988,0.7127560088221814,-0.32530046739239105,0.8527858746099445,0.46642580575751547,0.1697710611406201,-0.9078871698121805,15.424373674622894,4.5847423462695716,6.380842989676665,23.896761857939346,23.896761857939346,-0.6762956488462674,-2.274525990286638,3.274525990286628,1.6762956488462664,0.6871223701323159,-0.11748525984716188,1.117485259847162,0.312877629867684
