,datetime,Sample_ID,Code,Gage_Ht,Temp,pH,Cond,Cl,NO3-N,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS,Turbidity,source,discharge(cfs),discharge(m/yr),rank,stage,discharge(cms),notes,datetime.1,gageheight,site,code,datetime_last,d18O,d18O_stdev,d2H,d2H_stdev,dexcess,dexcess_stdev,DO%,Temperature,SO4,Bromide,rank_sp,rainfall(mm),rainfall(in),pc1,pc2,binnum,F1_med,F2_med,Na_backcalc_5,Na_backcalc_95,Na_backcalc_med,Na_backcalc_mean,Ca_backcalc_5,Ca_backcalc_95,Ca_backcalc_med,Ca_backcalc_mean,Mg_backcalc_5,Mg_backcalc_95,Mg_backcalc_med,Mg_backcalc_mean,Cl_backcalc_5,Cl_backcalc_95,Cl_backcalc_med,Cl_backcalc_mean,F1_std,F2_std,F1_5,F2_5,F1_95,F2_95,F1_25,F2_25,F1_75,F2_75
58,1992-07-29 12:00:00,RI,120000047.0,,,,57.7,6.3,168.0,0.4,5.84,0.62,1.32,3.91,11.0,,1.26,,,,20.97,,3.46,,EDI,9.0,2.435454747614488,45.41278834989074,,,,,,RI,,,,,,,,,,,,,,,,-0.9073799028301227,-0.023548785474417987,1.0,0.1273201558454403,0.8726798441545597,4.903586817480843,6.057536114125218,5.593978716908008,5.424246835213488,3.000281311182054,4.898142121965985,4.07344757805026,4.786710616539132,1.1831661041703951,1.7719671668162464,1.4349810294678362,1.5663223828436035,5.197636321795272,7.78694458593072,6.032935710092982,4.967972639912626,12.49971910458126,12.499719104581258,-0.071996019714978,0.5601944115762716,0.43980558842372813,1.0719960197149778,0.07992205758322848,0.8238775850678197,0.1761224149321803,0.9200779424167714
59,1992-08-12 15:45:00,RI,120000048.0,,,,56.8,6.02,161.0,0.4,5.65,0.61,1.23,3.45,10.0,,1.24,,,,19.5,,8.0,,EDI,5.2,1.4071516319550377,8.467866213953512,,,,,,RI,,,,,,,,,,,,,,,,-0.3955001439552962,0.007406489109847898,0.0,0.20766650966063488,0.7923334903393653,4.599158382563047,5.773717693536038,5.280217527341575,5.047010877525439,1.848844620610571,4.631076701178936,3.701062726978831,4.803068626224054,0.929878864568092,1.6926117500931641,1.3190772979493957,1.525458370039515,4.1826128427860745,8.83813488460968,5.857701976916809,4.223819710206425,19.634669945065404,19.6346699450654,-0.12852397206011268,0.2508892913863769,0.7491107086136226,1.128523972060112,0.1644416311900324,0.7170992793638472,0.282900720636153,0.8355583688099677
60,1992-08-26 11:00:00,RI,120000049.0,,,,61.9,6.51,158.0,0.39,5.81,0.6,1.35,4.58,9.0,,1.17,,,,23.32,,4.0,,EDI,7.9,2.1377880562393834,35.27416905791969,,,,,,RI,,,,,,,,,,,,,,,,-1.2919450235908068,-0.14716699224939755,1.0,0.06793426089741064,0.9320657391025893,5.089615456178001,6.311158912876854,5.828787035931933,5.707656735894981,3.683961145286845,5.142317889378698,4.370194002805695,4.774421167970705,1.3314542639866678,1.869314522932105,1.5190036791977093,1.5970227060079996,5.230923180005866,7.255382015634041,6.158204522932439,5.527039991796047,7.156844922245311,7.156844922245311,-0.12051172645334841,0.755767896312877,0.244232103687123,1.1205117264533482,0.014566723430804125,0.8970938570167308,0.10290614298326921,0.9854332765691959
64,1992-09-22 11:30:00,RI,120000050.0,,,,55.1,5.98,165.0,0.4,5.36,0.61,1.2,3.38,6.0,,1.41,,,,18.81,,10.0,,EDI,9.0,2.435454747614488,45.41278834989074,,,,,,RI,,,,,,,,,,,,,,,,-0.17136912733902543,0.009310194149454408,1.0,0.24335029129746283,0.7566497087025372,4.464420116520494,5.688273564496079,5.14304985184557,4.881834823510964,1.3215367866214256,4.594650307111637,3.545753600904691,4.810231123425672,0.7906590143570074,1.6573115010250086,1.2697846067776721,1.5075657056510392,3.692664643169869,9.294404265325772,5.771428481013151,3.8979858600466724,22.761396293522086,22.761396293522083,-0.1627579014856062,0.10618551768703945,0.8938144823129599,1.1627579014856055,0.19746975222027016,0.6699650382871714,0.33003496171282865,0.8025302477797298
65,1992-10-07 13:20:00,RI,120000051.0,,,,61.2,5.98,167.0,0.4,5.93,0.6,1.36,4.22,12.0,,1.36,,,,22.89,,4.0,,EDI,4.2,1.1365455488867608,3.3564449353449635,,,,,,RI,,,,,,,,,,,,,,,,-1.0128556025979432,-0.39722113049363605,0.0,0.11049378934929005,0.8895062106507099,4.957977022818414,6.13021364822254,5.6599281547033335,5.501978423393873,3.2254261502541692,4.961821546754279,4.150071620320805,4.783339956753478,1.2301055682714885,1.7935743557080472,1.4586733105349476,1.5747426422328537,5.268475147623784,7.610331997668027,6.0640124188336255,5.121309531309878,11.03166112622566,11.03166112622566,-0.07989350670714952,0.6155591547443245,0.38444084525567496,1.0798935067071496,0.0588867819282174,0.8443608891362204,0.15563911086377957,0.9411132180717826
66,1992-11-10 15:45:00,RI,120000052.0,,,,46.2,5.84,151.0,0.51,4.67,0.6,0.96,2.67,6.0,,,,,,12.86,,15.0,,EDI,6.4,1.7318789316369692,19.615466385545048,,,,,,RI,,,,,,,,,,,,,,,,0.836969985280906,0.32636413134426734,0.0,0.4054854495391621,0.594514550460838,3.8339167624734425,5.385212177183488,4.528306144374239,4.138727161548197,-1.006430720792109,5.000601777773898,2.8833356864165784,4.842454356878362,0.28200043070839625,1.4821755376347059,1.0555130529384107,1.4270687106154314,1.6748994972456346,11.445829618559566,5.361793777431206,2.432097647465577,36.83488279019423,36.83488279019422,-0.2948555545284966,-0.5078941275783506,1.5078941275783506,1.2948555545284965,0.340975601494121,0.45034655535563967,0.5496534446443604,0.659024398505879
67,1992-12-02 12:45:00,RI,120000053.0,,,,56.3,6.47,182.0,0.39,5.62,0.58,1.28,3.82,14.0,,1.09,,,,21.29,,6.0,,EDI,10.0,2.7060608306827643,54.970870952848806,,,,,,RI,,,,,,,,,,,,,,,,-0.7741955008548836,0.1510938873141494,2.0,0.14770216392581526,0.8522978360741847,4.849425927032305,5.968182431468399,5.5108830432987315,5.326094984984684,2.7179951916420086,4.816879563841298,3.973809217617256,4.790966756188366,1.1214642839147506,1.7415558937934519,1.4060585787417668,1.555690102482323,5.13510154161816,7.9872953227585,5.997126054412881,4.7743538042335105,14.3548668777694,14.354866877769398,-0.05787302661265654,0.4877716465738201,0.5122283534261799,1.0578730266126557,0.10311948596655775,0.7971428219737247,0.20285717802627506,0.8968805140334423
68,1992-12-29 14:30:00,RI,120000054.0,,,,48.6,5.87,147.0,0.42,5.12,0.58,1.06,2.97,12.0,,2.21,,,,15.83,,20.0,,EDI,13.0,3.517879079887593,68.81937097360586,,,,,,RI,,,,,,,,,,,,,,,,0.3482089161109748,0.1838254904217507,3.0,0.32641184074769736,0.6735881592523025,4.152129789231438,5.519926993486267,4.827072812079224,4.498925522222302,0.11554877157837569,4.752246805961859,3.2011638764558406,4.82683514520904,0.5215389949378989,1.5592340770188537,1.1583300695710745,1.4660871289889332,2.6706955046724534,10.484590775961074,5.559877366827241,3.1426414328823364,30.01230003001806,30.01230003001806,-0.23267872519688637,-0.22285301409952069,1.2228530140995206,1.2326787251968858,0.27198814815648953,0.5578371238369628,0.4421628761630371,0.7280118518435104
69,1993-02-16 15:56:00,RI,120000055.0,,,,52.8,6.64,157.0,0.37,6.16,0.56,1.44,4.59,12.0,,1.03,,,,25.03,,6.0,,EDI,8.4,2.2730910977735217,40.519850649946974,,,,,,RI,,,,,,,,,,,,,,,,-1.6367523980182088,-0.10880756460993227,1.0,0.012238741948299887,0.9877612580517,5.21765596228201,6.520992642333219,6.042429506513585,5.9617666862394865,4.025347600137282,5.367185584968047,4.663229739926264,4.763402247467387,1.4093521676254093,2.006524470423413,1.593116150858009,1.624549117668668,5.298574066183056,7.136619479208923,6.297353328084462,6.028308919538935,2.4697793031963724,2.469779303196372,-0.18590691884823596,0.8963592254679295,0.10364077453207055,1.185906918848236,-0.04051737114004151,0.9630743888224297,0.036925611177570344,1.0405173711400417
70,1993-03-09 10:59:00,RI,120000056.0,,,,64.7,6.73,129.0,0.37,6.26,0.55,1.48,5.14,10.0,,0.83,,,,26.31,,2.0,,EDI,11.0,2.976666913751041,59.66960452176407,,,,,,RI,,,,,,,,,,,,,,,,-2.0019608472097556,-0.2740885526248729,2.0,-0.04780106635852938,1.0478010663585293,5.365910637272314,6.793148082821169,6.267791897068578,6.230911454513525,4.229256108045294,5.678020025010873,4.946491018938176,4.751731375069495,1.4774519724121669,2.1229454663555285,1.6695677656275079,1.6537041730995063,5.138330796607999,7.371985666464391,6.3778659518888094,6.559236217810541,2.9794411071731144,2.9794411071731144,-0.30985952445052034,0.9582487929722308,0.04175120702776912,1.3098595244505202,-0.11773432262312236,1.0246971179857147,-0.024697117985714785,1.1177343226231222
