,datetime,site,code,datetime_last,d18O,d18O_stdev,d2H,d2H_stdev,dexcess,dexcess_stdev,pH,Cond,DO%,Temperature,Turbidity,Cl,NO3-N,SO4,Bromide,DOC,TDN,NH4-N,PO4-P,Na,K,Mg,Ca,SiO2,discharge(cfs),discharge(m/yr),rank_sp,rank,stage,discharge(cms),notes,rainfall(mm),rainfall(in)
0,2018-04-12 12:05:00,RI,RI 4-12-18,,-2.396263651608216,0.0151980627882996,-4.203471076887775,0.1242361337615552,14.966638135977954,0.1738315510289007,6.45,64.1,87.2,20.8,6.4,7.3333,0.2069,0.4756,0.0018,1.33582604712162,0.281620232862427,12.6020299633194,6.23131038067925,5.7859,0.9003,1.2332,3.613,20.442166480253,8.69,2.3515668618633216,48.27526288353088,45.20993545189336,,,,,
1,2018-04-18 11:11:00,RI,RI 4-18-18,,-2.239688349024292,0.0185218580735918,-2.827928633720892,0.1233351739624547,15.089578158473442,0.1927883700647911,6.42,61.6,86.9,21.2,6.8,7.3205,0.2785,0.559,-0.0039,1.38933064697967,0.368451529899453,11.1172700251422,7.63202417619218,5.4887,0.9544,1.1513,3.2386,16.9482574126572,10.4,2.814303263910075,65.8870114210191,57.27870793082496,,,,,
2,2018-04-25 11:10:00,RI,RI 4-25-18,,-2.429625496330067,0.0238345594535557,-4.854026787529282,0.1182822096940153,14.582977183111254,0.2243840446381705,6.61,62.5,87.8,21.1,3.8,7.0702,0.2059,0.5038,0.0,0.977117548924332,0.21546923477094,5.71331824368082,2.0,5.6411,0.9085,1.3255,3.8056,19.1165076215838,9.26,2.5058123292122394,55.643900101625476,49.81177138069545,,,,,
3,2018-05-02 11:35:00,RI,RI 5-2-18,,-2.290624510094581,0.0273543346207388,-3.875472008450288,0.1143758211471724,14.449524072306358,0.2494938246921422,6.7,59.9,88.2,21.7,2.8,7.0504,0.2331,0.5576,0.007,1.1798658305141,0.256916361109491,16.757251011609,4.42680559814805,5.6409,0.902,1.3531,3.8306,18.6952827108877,8.69,2.3515668618633216,48.27526288353088,45.20993545189336,,,,,
4,2018-05-10 01:05:00,RI,RI 5-10-18,,-2.3259426164746984,0.0200370659711817,-4.0825424282147775,0.1858578326542463,14.52499850358281,0.2454345345991006,6.6,59.8,89.8,22.5,5.1,6.5535,0.1201,0.3873,0.0,1.28101864331958,0.228696319228672,21.3674205351174,35.365658224939,4.7959,0.5935,0.8499,3.0201,19.4056529016506,13.5,3.6531821214217315,80.93837704633174,70.92460665407826,,,,,
5,2018-05-16 13:07:00,RI,RI 5-16-18,,-2.191679121589602,0.0119884340403332,-3.5911992897814056,0.0370484449168705,13.942233682935411,0.1028145442925337,7.03,55.2,89.8,22.0,5.7,7.2998,0.1941,0.5189,0.0,0.919666983287723,0.231036397689989,6.89421404074261,6.64709234529086,5.6581,0.8866,1.3085,3.6919,19.7906436594172,12.2,3.3013942134329715,76.27097671038844,66.35723999290487,,,,,
6,2018-05-23 10:35:00,RI,RI 5-23-18,,-2.445097999,0.0302247729999999,-5.269920792,0.141832165,14.2908632,0.2803261044110681,7.28,54.2,86.7,20.9,6.0,7.3264,0.1902,0.3926,0.0,0.767118725093149,0.215388799853439,8.73369354492077,8.71598222182721,5.5507,0.8185,1.2857,3.665,18.262048042716,14.1,3.8155457712626974,82.48908710830749,73.21310184410582,,,,,
7,2018-05-30 10:00:00,RI,RI 5-30-18,,-1.94350094453145,0.010873950405249,-1.8023277940256297,0.21275501237413,13.74567976222597,0.2298526361061111,7.47,40.2,85.2,21.1,42.0,6.1222,0.28,0.648,0.0,2.43032749371062,0.349719366740449,5.96965997125825,5.36809113085602,4.5826,0.8884,0.8162,2.2006,9.07722835655391,31.8,8.60527344157119,95.42474712105017,92.80482343306358,,,,,
8,2018-06-06 12:26:00,RI,RI 6-6-18,,-2.6233908823919427,0.0225474192899835,-6.442126961027419,0.1162660878929207,14.545000098108122,0.2147494774905317,7.11,56.4,92.1,22.6,5.9,6.7733,0.1131,0.3548,0.0,0.615203663241615,0.138787831931913,2.5,4.96893031228515,5.5714,0.6864,1.3297,3.9536,21.0487994812746,11.0,2.976666913751041,70.17923996777472,59.66960452176407,,,,,
9,2018-06-13 11:30:00,RI,RI 6-13-18,,-2.5290960533172293,0.0209623204524454,-5.638289037199293,0.0701733903985404,14.594479389338542,0.1843769272292908,6.92,59.5,,,,6.8168,0.1435,0.3814,0.0,0.686054882202384,0.178459212640615,10.2065785818939,5.55,5.5666,0.7494,1.3253,3.9321,20.5168380415901,11.0,2.976666913751041,70.17923996777472,59.66960452176407,,,,,
10,2018-06-20 10:43:00,RI,RI 6-20-18,,-2.54254755673058,0.010832817433814,-6.1088585527189805,0.11177872853297,14.23152190112566,0.1414386082366673,6.39,58.9,90.6,21.9,6.8,6.8707,0.1611,0.4981,0.0,1.16078580793703,0.204408502340384,2.5,7.96339187734964,5.5153,0.7591,1.2921,3.7915,18.1722321113455,12.2,3.3013942134329715,76.27097671038844,66.35723999290487,,,,,
