,amp,phaseshift,rsquared,sterror,n,amp_uw,phaseshift_uw,rsquared_uw,sterror_uw,ampratio,ampratio_error,ampratio_uw,ampratio_uw_error,Unnamed: 0,mean elevation,Gmed,Lmed,L/G,Slope mean,Area,inceptisol,oxisol,ultisol,tabonuco,palm,colorado,elfin,other,Pmean,Qmean,Q/P
WDEV,3.3632208223396765,0.04132111470416413,0.4977761874652016,0.4550200389499651,52.0,3.4065334566122285,0.018473311790771108,0.5094591064455065,0.4611670684140808,,,,,,,,,,,,,,,,,,,,,,
RCEV,3.439312175505028,0.03697575938298868,0.579692443024452,0.4094691546973176,46.0,3.5130712255181056,0.023682386645521792,0.583622983629388,0.4017217987427916,,,,,,,,,,,,,,,,,,,,,,
TCEV,3.501964956518184,0.03294290615893375,0.6863587787161161,0.37585011598764384,38.0,3.6523296150567703,0.023610072960154563,0.6914060056022193,0.3965469350526029,,,,,,,,,,,,,,,,,,,,,,
EVcomp,3.439312175505028,0.03697575938298868,0.579692443024452,0.4094691546973176,46.0,3.5130712255181056,0.023682386645521792,0.583622983629388,0.4017217987427916,,,,,,,,,,,,,,,,,,,,,,
MPR,0.7662202185246113,0.12910436028236474,0.4053378259861623,0.06021977372462937,95.0,0.5415948225899112,0.13251340633762207,0.4837148861336513,0.05217458710941377,0.2227829808476457,0.03178163560375071,0.15747184173835094,0.02411668307406631,,499.28894,0.405364,52.455856,129.404327962029,28.369459,17612794.932521,41.9468621163536,57.5019086883494,0.551229195296992,57.0397434750949,25.2040829362393,13.8853047510763,1.06289203725232,2.80797680033726,3620.0,2843.0,0.7853591160220994
Q3,,,,,96.0,0.31084799140251046,0.12960870792832233,0.2503282711755296,0.050112954423790344,,,0.09038085975922369,0.018113207631842144,,456.851929,0.43678,51.183777,117.184342231787,29.69096,325747.531979,0.0,100.0,0.0,90.2892561983471,7.57575757575758,2.13498622589532,0.0,0.0,3507.0,2748.0,0.7835757057313943
RI,0.45582186341413666,0.17392529292095135,0.20755384434985868,0.05466346437485471,95.0,0.29821470443028997,0.1778171771584678,0.2613026418731109,0.04312738091113862,0.13253285545305402,0.02239597999177998,0.08670765816321985,0.016242070647121517,,684.53949,0.331444,43.87006,132.360398740059,24.942167,3252357.894895,100.0,0.0,0.0,0.0,12.9090280179869,85.077827741266,0.0,2.01314424074714,4053.0,4001.0,0.9871699975326919
QG,0.3048263631080616,0.20051860304593944,0.22828021736196902,0.04970890064036462,93.0,0.25135935204594606,0.1995224027628251,0.2215474885414761,0.04629174345989175,0.08863003634245588,0.017895142182601572,0.07308419219288709,0.016027145949046067,,698.229492,0.389628,42.727928,109.663391748026,27.965271,148276.708652,100.0,0.0,0.0,0.0,35.7798165137615,64.2201834862385,0.0,0.0,4080.0,3229.0,0.7914215686274509
I0,,,,,10.0,0.3148601934277877,0.10091457144468301,0.32472456991932686,0.166854180983318,,,0.09154743081196277,0.049723074831305794,,639.571716,0.281568,41.627419,147.841441499034,23.101189,42750.407932,100.0,0.0,0.0,0.0,4.16666666666667,91.6666666666667,0.0,4.16666666666667,3957.0,,
QS,1.5773011310326488,0.0881284196691784,0.15975834890336282,0.1330397837775227,104.0,0.8786272924640246,0.11523111335519555,0.39782837702638874,0.07168121853783936,0.4586094691451026,0.06691385271627862,0.25546599076456533,0.03687042308286817,,726.952087,0.315512,52.698494,167.025323917949,22.491058,2349721.366152,0.0,100.0,0.0,14.7981633824373,27.5396977233595,51.4922517696576,5.95944136215803,0.210445762387601,4137.0,3495.0,0.8448150833937635
QP,1.1779824142300859,0.09713496141107969,0.25053415417198466,0.09521434057040234,102.0,0.5373645059964907,0.10402696349531554,0.36377226512183813,0.059464966108826546,0.342505231894837,0.04928677435091863,0.15624185260751566,0.025395882883050443,,529.828491,0.317304,43.284275,136.412635831884,21.664463,417343.823153,0.0,89.4556365195028,10.5443634804972,62.621359223301,12.8371089536138,24.5415318230852,0.0,0.0,3698.0,4587.0,1.2404002163331531
RESSH,,,,,12.0,0.6598575944045215,0.08431915021375812,0.5570919828474878,0.18726698259781122,,,0.19185742983846127,0.05904601911616281,,540.461914,0.28261,48.870064,172.924043735183,21.042059,15310793.191236,23.5178397873511,54.7611798733006,21.7209803393482,43.5100145479126,10.9667749188109,37.7187697462197,2.3335439596773,5.47089682737947,3725.0,,
