site,depth,pH,Na,K,Ca,Mg,Li,Mn,Fe,Al,Si,Sr,Alk,Cl,NO3,SO4,CO2*,O2*
LGRC1open,,5.6,59.2,1.4,3.8,6.8,0,0,0,0,0,1.9,0,64.9,0,6.9,nd,nd
LGRC3throughfall,,5.2,119,12.3,6.8,13.2,0,0,0,0,0,0,0,163,0,15.4,nd,nd
ElVerdewet,,5.1,66,1.8,4.2,7.5,nd,nd,nd,nd,nd,nd,nd,82,4.3,8.5,nd,nd
LG1,0.9,4.9,204,6,12.1,24.4,5.7,1.4,0.2,3.4,61.1,0.1,16.4,246,6.2,11,4.8,16.2
LG1,1.2,4,90.2,5.2,12.7,18.9,0,0.2,0,9,60.7,0.3,0,128,0,12.4,3.1,24
LG1,8.5,5.1,156,39.5,27.2,59.3,4.3,3.6,0.3,15.6,216,0.1,67.6,171,18.9,7.6,3.8,18.3
LG2,0.9,4.5,138,4.7,4.5,12.6,0.4,0.2,0,3.2,52.5,0,4.8,152,4.8,3.1,nd,nd
LG2,3.6,5.4,220,16.7,14.3,50.2,0.1,0.9,0.2,6.8,115,0,34.3,217,12.2,24.8,nd,nd
LG3,0.9,4.9,292,9.4,11.8,48,0.7,0.9,0.4,5.1,75,0.1,7.5,262,11.3,42.9,6,nd
LG3,2.2,5.2,204,7.3,13.5,38.4,13.6,3.3,0.6,6.5,147,0.1,38,212,17.9,2.2,3.7,nd
RI,,6.8,222,13,83,49,nd,nd,nd,nd,305,nd,347,176,50,23.5,nd,nd
QG,,6.5,250,11.5,73,44.4,0.4,0,0.4,0,323,0.18,323,193,2.5,10.6,nd,nd
I0,,6.5,261,18.1,107,47.2,0,0,0,0.2,424,0.2,420,177,2.9,13.3,nd,nd
