,site,method,SiO2_old,SiO2_young
0,RI,solute,0.42771485627064754,-0.07086111195476963
1,RI,iso,0.37091888693174757,-0.07674413989214052
2,RI,iso_scholl,0.37091888693174757,0.0521613913294347
3,QG,solute,0.3470964908273086,-0.03716014516868904
4,QG,iso,0.3221255198877824,-0.09620497644289416
5,QG,iso_scholl,0.3221255198877824,0.024254189546941862
6,QS,solute,0.25223611598171813,-0.04258588652672901
7,QS,iso,0.22001328013251165,0.053451626239196415
8,QS,iso_scholl,0.22001328013251165,0.10141341264937631
9,QP,solute,0.4001381688720333,-0.08174509649533845
10,QP,iso,0.37532333021141,0.050413070280834194
11,QP,iso_scholl,0.37532333021141,0.14397167830983226
12,MPR,solute,0.44567973811887984,-0.03246163278951397
13,MPR,iso,0.4553812640152206,-0.27315987109331075
14,MPR,iso_scholl,0.4553812640152206,-0.06337488459524043
15,Q3,solute,0.5704745994077478,0.046934312372051146
16,Q3,iso,0.4553812640152206,-0.27315987109331075
17,Q3,iso_scholl,0.4553812640152206,-0.06337488459524043
