,$\delta^{18}$O (‰),,$\delta^{2}$H (‰),,d-excess (‰),
,unweighted,weighted,unweighted,weighted,unweighted,weighted
Precipitation,,,,,,
WDRP,-1.0848993525494088,-1.1664270859997334,1.1951787979344828,0.7275988446273401,9.874373618329754,10.05901553262521
RCRP,-1.4659216287647028,-1.6492280849530787,0.05270018633110215,-1.4479617868048418,11.780073216448725,11.74586289281979
WDEV,-1.6301672514208698,-1.738066210590593,-2.06712751836144,-2.7366680268033905,10.974210493005518,11.167861657921355
RCEV,-1.684886371727927,-1.7795187490259734,-1.552781117305504,-2.0871161378386027,11.926309856517909,12.149033854369183
TCEV,-1.7209928288521403,-1.6648193849520663,-1.2477491907318445,-0.2850701474125902,12.520193440085276,13.033484932203939
Streamflow,,,,,,
RI,-2.362820026948606,-2.3544771571087426,-4.556726955638179,-4.510802986774287,14.34583325995067,14.325014270095654
QG,-2.417724276916012,-2.3975726458975584,-5.231477740367668,-5.083069822421974,14.110316474960428,14.097511344758491
I0,-2.3485263281330715,,-4.737224393130355,,14.050986231934218,
QS,-2.2865707286298145,-2.3623072095672155,-3.640270979164995,-4.232801928805556,14.65229484987352,14.665655747732167
QP,-2.277990761970004,-2.2589788759728338,-4.6165670265143675,-4.274711759475977,13.607359069245659,13.797119248306695
RESSH,-2.1397635125212155,,-3.0223402920320184,,14.095767808137706,
MPR,-2.260675723722487,-2.268248942446997,-3.8906210415887625,-3.8968391448482342,14.19478474819113,14.249152394727743
Q3,-2.4118739171444044,,-5.155692402530227,,14.13929893462501,
