,ampratio_uw,Pmean,Qmean,Q/P,mean elevation,Area,Slope mean,Gmed,Lmed,L/G,inceptisol,oxisol,ultisol,tabonuco,palm,colorado,elfin,other
ampratio_uw,1.0,0.9438543487849732,0.29532740923308887,0.03528969235091288,0.9312936103092843,0.13301855075026014,-0.6867730703123004,-0.7299260776107082,0.18549320755079013,0.8603506594690585,-0.006546994654312007,-0.05227649519743069,0.13587903432419982,-0.9979154587342335,0.6842262825583524,0.9656674875558295,0.912798609220758,0.17166557162196244
Pmean,0.9438543487849732,1.0,0.294877197419837,0.02558926983761955,0.9990267112960668,-0.17302586688804997,-0.5929113709994293,-0.6056515250340396,0.2139253474403429,0.7347100601849845,-0.28617907532347664,0.2770078887686306,-0.08178957419979853,-0.932568999490163,0.66130234008005,0.9180910019392177,0.9404162925253983,-0.1354746336220164
Qmean,0.29532740923308887,0.294877197419837,1.0,0.9627642563630772,0.26851089666013145,-0.45671325782707245,-0.8883382858449027,-0.833740635782091,-0.8682617741013231,0.35733352499229426,-0.45279682591471176,0.23719612714059093,0.9110378609133147,-0.2398118054707425,-0.10056446210398456,0.4335324125864125,-0.021294410892958363,-0.4585521767467722
Q/P,0.03528969235091288,0.02558926983761955,0.9627642563630772,1.0,-0.0018784564698433222,-0.4226824793579101,-0.7312803736520915,-0.6553467327581514,-0.9681421388688353,0.09244722378498078,-0.38884577868361075,0.15086952659306926,0.9872361136952545,0.019755142357970313,-0.30130008674879977,0.17457896983240118,-0.2907816091699128,-0.41374861219795867
mean elevation,0.9312936103092843,0.9990267112960668,0.26851089666013145,-0.0018784564698433222,1.0,-0.19395843361411022,-0.5616204278747212,-0.5737305769774945,0.24134365125373136,0.7138322284284572,-0.3026392344960693,0.306388596335411,-0.1180986141864606,-0.9206037538246266,0.6643376984098783,0.902455957249005,0.9448186774506085,-0.1623148997785724
Area,0.13301855075026014,-0.17302586688804997,-0.45671325782707245,-0.4226824793579101,-0.19395843361411022,1.0,0.039990078807377635,-0.07897246252624172,0.3066722822432049,0.24973757833105495,0.9639119920152613,-0.959225492384217,0.3370676805418745,-0.18184455069534702,0.2565912782154019,0.029011954944537597,0.012519886873037426,0.8784979638312995
Slope mean,-0.6867730703123004,-0.5929113709994293,-0.8883382858449027,-0.7312803736520915,-0.5616204278747212,0.039990078807377635,1.0,0.9894816519760006,0.5286960392171214,-0.8149727128211678,0.22956546807823677,0.10057668908398501,-0.6929800185457466,0.6497084389327925,-0.0381879019069884,-0.8204923421736972,-0.4311857059745977,-0.24847781707684413
Gmed,-0.7299260776107082,-0.6056515250340396,-0.833740635782091,-0.6553467327581514,-0.5737305769774945,-0.07897246252624172,0.9894816519760006,1.0,0.4320910627531456,-0.880708854518624,0.12690643355631895,0.2001085817452169,-0.7227023669334125,0.7003786399709532,-0.07753668625010755,-0.8527278523724703,-0.4865967911937739,-0.36547992323816486
Lmed,0.18549320755079013,0.2139253474403429,-0.8682617741013231,-0.9681421388688353,0.24134365125373136,0.3066722822432049,0.5286960392171214,0.4320910627531456,1.0,0.03627477147289211,0.3237476066446313,-0.03439028465018915,-0.5631196426845465,-0.23715355390800966,0.5158340682227888,0.024069304978793272,0.4888936959799833,0.10188670481227757
L/G,0.8603506594690585,0.7347100601849845,0.35733352499229426,0.09244722378498078,0.7138322284284572,0.24973757833105495,-0.8149727128211678,-0.880708854518624,0.03627477147289211,1.0,0.015856708056546497,-0.25153078771163684,0.5595923741532959,-0.8541972392057374,0.26837848864819547,0.9314954998842431,0.7634272480264668,0.49833786113043216
inceptisol,-0.006546994654312007,-0.28617907532347664,-0.45279682591471176,-0.38884577868361075,-0.3026392344960693,0.9639119920152613,0.22956546807823677,0.12690643355631895,0.3237476066446313,0.015856708056546497,1.0,-0.9069845502838535,0.14251443888194423,-0.04577469977230898,0.3127810408139764,-0.15509869607787538,-0.12175428359538441,0.7324105197311245
oxisol,-0.05227649519743069,0.2770078887686306,0.23719612714059093,0.15086952659306926,0.306388596335411,-0.959225492384217,0.10057668908398501,0.2001085817452169,-0.03439028465018915,-0.25153078771163684,-0.9069845502838535,1.0,-0.546123351699904,0.08851357130286103,-0.060762465871181504,-0.0025031703651575256,0.14838236922679796,-0.9161231470602014
ultisol,0.13587903432419982,-0.08178957419979853,0.9110378609133147,0.9872361136952545,-0.1180986141864606,0.3370676805418745,-0.6929800185457466,-0.7227023669334125,-0.5631196426845465,0.5595923741532959,0.14251443888194423,-0.546123351699904,1.0,-0.11697205067733507,-0.4793286575105352,0.3143777031439835,-0.10654675195962318,0.6962330849054998
tabonuco,-0.9979154587342335,-0.932568999490163,-0.2398118054707425,0.019755142357970313,-0.9206037538246266,-0.18184455069534702,0.6497084389327925,0.7003786399709532,-0.23715355390800966,-0.8541972392057374,-0.04577469977230898,0.08851357130286103,-0.11697205067733507,1.0,-0.7112500636857284,-0.9514595567335926,-0.9193717197500435,-0.20259411468292107
palm,0.6842262825583524,0.66130234008005,-0.10056446210398456,-0.30130008674879977,0.6643376984098783,0.2565912782154019,-0.0381879019069884,-0.07753668625010755,0.5158340682227888,0.26837848864819547,0.3127810408139764,-0.060762465871181504,-0.4793286575105352,-0.7112500636857284,1.0,0.4741684889691564,0.6654273754646921,-0.0722280516360763
colorado,0.9656674875558295,0.9180910019392177,0.4335324125864125,0.17457896983240118,0.902455957249005,0.029011954944537597,-0.8204923421736972,-0.8527278523724703,0.024069304978793272,0.9314954998842431,-0.15509869607787538,-0.0025031703651575256,0.3143777031439835,-0.9514595567335926,0.4741684889691564,1.0,0.8670709528165068,0.1907814044876376
elfin,0.912798609220758,0.9404162925253983,-0.021294410892958363,-0.2907816091699128,0.9448186774506085,0.012519886873037426,-0.4311857059745977,-0.4865967911937739,0.4888936959799833,0.7634272480264668,-0.12175428359538441,0.14838236922679796,-0.10654675195962318,-0.9193717197500435,0.6654273754646921,0.8670709528165068,1.0,0.04666292134757558
other,0.17166557162196244,-0.1354746336220164,-0.4585521767467722,-0.41374861219795867,-0.1623148997785724,0.8784979638312995,-0.24847781707684413,-0.36547992323816486,0.10188670481227757,0.49833786113043216,0.7324105197311245,-0.9161231470602014,0.6962330849054998,-0.20259411468292107,-0.0722280516360763,0.1907814044876376,0.04666292134757558,1.0
